day,category,total_households,total_couponed,total_non_couponed,coupon_rate,without_coupon_rate
117,pasta sauce,1517,59,1745,3.27,96.73
300,pasta sauce,1517,57,1799,3.07,96.93
126,syrups,1516,63,1570,3.86,96.14
511,syrups,1516,39,1557,2.44,97.56
5,pasta sauce,1513,36,1773,1.99,98.01
129,pasta sauce,1508,67,1691,3.81,96.19
155,syrups,1497,53,1542,3.32,96.68
376,pasta sauce,1492,35,1756,1.95,98.05
496,pasta,1489,6,1695,0.35,99.65
122,pasta sauce,1486,44,1733,2.48,97.52
531,syrups,1485,38,1530,2.42,97.58
313,pasta sauce,1481,49,1741,2.74,97.26
124,pasta sauce,1480,61,1712,3.44,96.56
34,pasta sauce,1480,38,1739,2.14,97.86
293,pasta sauce,1475,51,1734,2.86,97.14
133,pasta sauce,1440,38,1654,2.25,97.75
539,syrups,1437,28,1472,1.87,98.13
96,pasta sauce,1435,36,1676,2.10,97.90
553,syrups,1428,63,1424,4.24,95.76
166,pasta sauce,1420,12,1688,0.71,99.29
130,pasta sauce,1404,52,1567,3.21,96.79
203,syrups,1399,22,1445,1.50,98.50
716,pasta sauce,1399,6,1697,0.35,99.65
272,pasta sauce,1397,16,1609,0.98,99.02
616,syrups,1386,48,1408,3.30,96.70
138,pasta sauce,1379,26,1801,1.42,98.58
651,syrups,1375,63,1368,4.40,95.60
580,pasta sauce,1373,37,1650,2.19,97.81
266,syrups,1366,10,1427,0.70,99.30
140,syrups,1359,53,1376,3.71,96.29
196,syrups,1358,25,1388,1.77,98.23
520,syrups,1355,26,1411,1.81,98.19
160,pasta sauce,1355,25,1588,1.55,98.45
210,syrups,1346,18,1380,1.29,98.71
189,syrups,1345,51,1351,3.64,96.36
504,syrups,1340,38,1363,2.71,97.29
119,syrups,1334,48,1331,3.48,96.52
148,syrups,1329,72,1334,5.12,94.88
588,syrups,1323,33,1337,2.41,97.59
501,syrups,1321,49,1350,3.50,96.50
495,pasta,1314,6,1436,0.42,99.58
505,syrups,1301,34,1335,2.48,97.52
175,syrups,1299,58,1299,4.27,95.73
560,syrups,1298,18,1334,1.33,98.67
581,syrups,1294,44,1304,3.26,96.74
182,syrups,1282,53,1282,3.97,96.03
476,syrups,1281,24,1323,1.78,98.22
125,pasta sauce,1270,70,1460,4.58,95.42
441,syrups,1270,29,1301,2.18,97.82
623,syrups,1269,38,1279,2.89,97.11
112,syrups,1269,36,1284,2.73,97.27
131,pasta,1267,9,1400,0.64,99.36
567,syrups,1262,21,1300,1.59,98.41
512,syrups,1261,30,1293,2.27,97.73
153,syrups,1243,37,1285,2.80,97.20
596,syrups,1243,30,1261,2.32,97.68
120,syrups,1240,42,1256,3.24,96.76
517,syrups,1240,28,1279,2.14,97.86
546,syrups,1237,30,1252,2.34,97.66
204,syrups,1233,32,1244,2.51,97.49
455,syrups,1232,36,1239,2.82,97.18
575,syrups,1229,38,1236,2.98,97.02
602,syrups,1225,28,1251,2.19,97.81
263,syrups,1223,25,1269,1.93,98.07
165,syrups,1219,81,1199,6.33,93.67
484,syrups,1219,37,1238,2.90,97.10
574,syrups,1219,32,1235,2.53,97.47
714,syrups,1214,30,1220,2.40,97.60
350,syrups,1213,30,1227,2.39,97.61
477,syrups,1212,22,1247,1.73,98.27
200,syrups,1209,44,1226,3.46,96.54
540,syrups,1209,24,1245,1.89,98.11
420,syrups,1206,31,1218,2.48,97.52
728,syrups,1204,24,1227,1.92,98.08
609,syrups,1200,37,1206,2.98,97.02
224,syrups,1196,36,1200,2.91,97.09
14,syrups,1196,11,1243,0.88,99.12
21,syrups,1194,23,1221,1.85,98.15
351,pasta sauce,1185,5,1390,0.36,99.64
28,syrups,1182,89,1145,7.21,92.79
146,syrups,1181,48,1189,3.88,96.12
231,syrups,1180,34,1193,2.77,97.23
217,syrups,1176,17,1210,1.39,98.61
42,syrups,1174,33,1193,2.69,97.31
536,syrups,1170,50,1175,4.08,95.92
644,syrups,1168,29,1197,2.37,97.63
176,syrups,1164,80,1126,6.63,93.37
172,syrups,1163,59,1153,4.87,95.13
84,syrups,1163,46,1166,3.80,96.20
141,syrups,1155,53,1163,4.36,95.64
421,syrups,1153,41,1159,3.42,96.58
413,syrups,1151,18,1184,1.50,98.50
137,syrups,1150,70,1157,5.70,94.30
722,syrups,1148,21,1193,1.73,98.27
707,syrups,1146,30,1158,2.53,97.47
448,syrups,1146,22,1167,1.85,98.15
510,syrups,1144,22,1191,1.81,98.19
238,syrups,1143,53,1171,4.33,95.67
152,syrups,1143,36,1182,2.96,97.04
29,syrups,1140,23,1167,1.93,98.07
489,syrups,1139,31,1177,2.57,97.43
197,syrups,1139,20,1168,1.68,98.32
364,syrups,1138,10,1166,0.85,99.15
547,syrups,1137,50,1125,4.26,95.74
568,syrups,1136,43,1132,3.66,96.34
683,syrups,1136,35,1141,2.98,97.02
449,syrups,1136,23,1141,1.98,98.02
57,syrups,1135,42,1139,3.56,96.44
462,syrups,1132,19,1158,1.61,98.39
582,syrups,1131,39,1130,3.34,96.66
469,syrups,1131,29,1148,2.46,97.54
473,syrups,1131,24,1164,2.02,97.98
693,syrups,1130,42,1148,3.53,96.47
183,syrups,1129,45,1135,3.81,96.19
113,syrups,1127,31,1138,2.65,97.35
393,syrups,1126,18,1163,1.52,98.48
211,syrups,1120,16,1144,1.38,98.62
15,syrups,1119,25,1128,2.17,97.83
392,syrups,1119,18,1146,1.55,98.45
50,syrups,1116,47,1114,4.05,95.95
595,syrups,1114,26,1137,2.24,97.76
592,syrups,1113,51,1127,4.33,95.67
515,syrups,1111,26,1164,2.18,97.82
645,syrups,1110,43,1104,3.75,96.25
603,syrups,1109,45,1119,3.87,96.13
18,syrups,1107,46,1122,3.94,96.06
658,syrups,1107,20,1140,1.72,98.28
22,syrups,1107,18,1123,1.58,98.42
168,syrups,1106,78,1061,6.85,93.15
56,syrups,1105,32,1122,2.77,97.23
357,syrups,1105,26,1118,2.27,97.73
99,syrups,1105,13,1134,1.13,98.87
378,syrups,1104,6,1136,0.53,99.47
260,syrups,1103,20,1118,1.76,98.24
456,syrups,1103,20,1123,1.75,98.25
482,syrups,1102,23,1133,1.99,98.01
301,syrups,1100,15,1126,1.31,98.69
637,syrups,1097,31,1117,2.70,97.30
721,syrups,1097,18,1127,1.57,98.43
354,syrups,1096,20,1130,1.74,98.26
259,syrups,1093,26,1104,2.30,97.70
665,syrups,1092,21,1133,1.82,98.18
589,syrups,1091,23,1106,2.04,97.96
70,syrups,1090,60,1076,5.28,94.72
